date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:23	128007/128007	---M--	200	added ('OK')	image/png	etag:%222140420-1f407-5c712f5e3c424%22	http://ntechglobalsolutions.in/ows/images/logo_1.png	D:/Project/ntech/ntechglobalsolutions.in/ows/images/logo_1.png	(from http://ntechglobalsolutions.in/ows/)
11:19:25	28096/28096	---M--	200	added ('OK')	image/jpeg	etag:%2228607c4-6dc0-5ae32ceff7800%22	http://ntechglobalsolutions.in/ows/images/industry/automotive.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/automotive.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:28	45396/45396	---M--	200	added ('OK')	image/jpeg	etag:%2228607c3-b154-5ae3023edbf00%22	http://ntechglobalsolutions.in/ows/images/industry/agri.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/agri.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:29	54962/54962	---M--	200	added ('OK')	image/png	etag:%2228607c1-d6b2-5c4adbdaa6380%22	http://ntechglobalsolutions.in/ows/images/about.png	D:/Project/ntech/ntechglobalsolutions.in/ows/images/about.png	(from http://ntechglobalsolutions.in/ows/)
11:19:30	27467/27467	---M--	200	added ('OK')	image/jpeg	etag:%2228607c7-6b4b-5ae4322f3d400%22	http://ntechglobalsolutions.in/ows/images/industry/ecom.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/ecom.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:30	45762/45762	---M--	200	added ('OK')	image/jpeg	etag:%2228607c5-b2c2-5ae316b287f80%22	http://ntechglobalsolutions.in/ows/images/industry/aviation.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/aviation.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:32	30039/30039	---M--	200	added ('OK')	image/jpeg	etag:%2228607c8-7557-5ae316e9d8200%22	http://ntechglobalsolutions.in/ows/images/industry/education.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/education.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:35	42183/42183	---M--	200	added ('OK')	image/jpeg	etag:%2228607c9-a4c7-5ae317048c100%22	http://ntechglobalsolutions.in/ows/images/industry/electronic.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/electronic.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:37	45249/45249	---M--	200	added ('OK')	image/jpeg	etag:%2228607cc-b0c1-5ae3171d57b80%22	http://ntechglobalsolutions.in/ows/images/industry/fmcg.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/fmcg.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:37	49085/49085	---M--	200	added ('OK')	image/jpeg	etag:%2228607cb-bfbd-5ae32447a0b00%22	http://ntechglobalsolutions.in/ows/images/industry/film.jpg	D:/Project/ntech/ntechglobalsolutions.in/ows/images/industry/film.jpg	(from http://ntechglobalsolutions.in/ows/)
11:19:51	123002/123002	---M--	200	added ('OK')	image/png	etag:%2228607c0-1e07a-5c4adbe617e80%22	http://ntechglobalsolutions.in/ows/images/A.png	D:/Project/ntech/ntechglobalsolutions.in/ows/images/A.png	(from http://ntechglobalsolutions.in/ows/)
11:19:53	176923/176923	---M--	200	added ('OK')	image/png	etag:%222145c32-2b31b-5c71349bd2bdd%22	http://ntechglobalsolutions.in/ows/images/New_Map.png	D:/Project/ntech/ntechglobalsolutions.in/ows/images/New_Map.png	(from http://ntechglobalsolutions.in/ows/)
11:19:53	799550/799550	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7015c8439e386a7507c597a5c4c6901%22	https://use.fontawesome.com/releases/v5.0.13/js/all.js	D:/Project/ntech/use.fontawesome.com/releases/v5.0.13/js/all.js	(from http://ntechglobalsolutions.in/ows/)
